Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,阜新南,----,16:48,00:00,-
2,清河门北,17:10,17:13,00:22,-
3,义县,17:48,17:50,00:57,42
4,锦州,18:43,19:04,01:50,90
5,葫芦岛,19:37,19:39,02:23,140
6,兴城,19:55,19:57,02:39,161
7,绥中,20:28,20:30,03:10,209
8,山海关,21:17,21:23,03:57,274
9,滦县,22:37,22:52,05:11,381
10,唐山,23:43,23:46,06:02,452
11,天津,01:31,01:38,07:47,566
12,沧州,02:58,03:03,09:07,692
13,德州,04:19,04:21,10:23,843
14,济南,05:50,06:01,11:52,923
15,泰山,06:54,06:56,12:45,996
16,兖州,07:54,07:57,13:43,1079
17,滕州,08:35,08:38,14:21,1140
18,徐州,09:56,10:06,15:39,1242
19,宿州,10:53,10:57,16:26,1316
20,蚌埠,11:56,12:00,17:25,1406
21,滁州北,13:18,13:22,18:43,1533
22,南京,14:06,14:16,19:27,1590
23,丹阳,15:15,15:19,20:26,1682
24,常州,15:48,15:51,20:55,1764
25,无锡,16:18,16:22,21:22,1765
26,苏州,17:08,17:12,22:08,1807
27,上海,18:26,18:26,23:22,1898
