Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,三亚,----,12:33,00:00,-
2,崖州,12:51,12:52,00:18,324
3,乐东,13:04,13:05,00:30,329
4,黄流,13:14,13:15,00:39,334
5,东方,13:39,13:41,01:03,344
6,棋子湾,13:55,13:56,01:17,1822
7,白马井,14:18,14:20,01:39,1817
8,临高南,14:42,14:44,02:01,364
9,老城镇,15:00,15:01,02:17,1465
10,海口东,15:25,15:30,02:41,688
11,美兰,15:39,15:41,02:50,702
12,文昌,15:58,16:00,03:07,753
13,琼海,16:16,16:17,03:23,803
14,博鳌,16:25,16:26,03:31,993
15,万宁,16:40,16:41,03:45,857
16,陵水,16:57,16:58,04:01,906
17,三 亚,17:22,17:22,04:25,1174
