Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,南通,08:53,08:53,00:00,-
2,海安,09:25,09:27,00:32,-
3,泰州,09:51,09:53,00:56,119
4,扬州,10:25,10:27,01:28,183
5,合肥南,12:03,12:12,03:04,289
6,六安,12:36,12:52,03:28,376
7,金寨,13:09,13:11,03:45,428
8,麻城北,13:44,13:46,04:18,537
9,红安西,14:00,14:02,04:32,576
10,汉口,14:32,14:37,05:02,648
11,潜江,15:30,15:32,05:55,-
12,荆州,15:57,15:59,06:20,852
13,宜昌东,16:34,16:45,06:55,940
14,巴东,17:39,17:41,07:49,-
15,建始,18:16,18:18,08:24,1119
16,恩施,18:41,18:47,08:47,1154
17,利川,19:22,19:24,09:22,1215
18,丰都,20:19,20:21,10:17,1359
19,涪陵北,20:40,20:42,10:36,1401
20,重庆北,21:21,21:21,11:15,1493
