Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,西安北,13:40,13:40,00:00,-
2,华山北,14:10,14:12,00:30,121
3,渑池南,14:51,14:53,01:09,315
4,洛阳龙门,15:11,15:13,01:27,380
5,郑州东,15:51,15:55,02:05,454
6,商丘,16:45,16:50,02:55,543
7,永城北,17:13,17:15,03:18,543
8,徐州东,17:42,17:44,03:45,563
9,定远,18:32,18:34,04:33,1093
10,南京南,19:04,19:09,05:03,894
11,溧水,19:26,19:28,05:20,1260
12,宜兴,19:50,19:52,05:42,1343
13,湖州,20:08,20:10,05:58,1399
14,杭州东,20:32,20:49,06:20,1470
15,诸暨,21:13,21:15,06:44,1536
16,义乌,21:30,21:32,06:59,1579
17,金华南,21:51,21:51,07:18,1624
