Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,佳木斯,11:15,11:15,00:00,-
2,汤原,11:48,11:52,00:33,50
3,南岔,13:01,13:04,01:42,153
4,庆安,15:06,15:08,03:44,328
5,绥化,15:50,15:54,04:26,382
6,白奎堡,16:21,16:23,04:53,422
7,呼兰,16:56,17:00,05:26,475
8,哈尔滨东,17:25,18:05,05:51,500
9,双城堡,19:05,19:17,06:51,558
10,扶余,19:53,19:55,07:27,574
11,德惠,20:32,20:34,08:04,637
12,长春,21:30,21:40,09:00,718
13,四平,23:12,23:15,10:32,867
14,铁岭,00:23,00:37,11:40,985
15,沈阳,01:36,01:46,12:39,1055
16,辽阳,02:28,02:32,13:21,1119
17,鞍山,02:50,02:53,13:39,1144
18,海城,03:18,03:21,14:04,1180
19,大石桥,03:50,03:56,14:33,1212
20,熊岳城,04:34,04:38,15:11,1273
21,金州,06:33,06:36,17:06,1419
22,大连北,06:52,06:52,17:22,1448
