Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,福州,----,08:36,00:00,-
2,三明北,11:15,11:21,02:39,195
3,南昌西,14:25,14:49,05:43,271
4,黄石,17:23,17:27,08:17,804
5,鄂州,17:42,17:46,08:32,831
6,武昌,18:47,19:08,09:33,973
7,花园,20:21,20:24,10:46,1033
8,信阳,21:38,21:53,12:00,1200
9,南阳,00:27,01:14,14:34,-
10,渭南西,06:06,06:10,19:26,-
11,西安,07:30,07:41,20:46,1855
12,武功,08:23,08:25,21:28,-
13,宝鸡,09:35,09:56,22:38,2106
14,天水,11:32,11:37,24:14,2261
15,陇西,12:59,13:05,25:36,2407
16,定西,13:59,14:02,26:30,-
17,兰州,15:30,15:47,27:58,2609
18,武威,18:52,18:58,31:03,-
19,张掖,21:13,21:19,33:18,-
20,酒泉,23:09,23:11,35:08,-
21,嘉峪关,23:30,23:38,35:27,3379
22,柳园,02:22,02:24,38:11,3676
23,哈密,05:04,05:12,40:51,3948
24,鄯善北,07:23,07:25,43:02,4076
25,吐鲁番北,08:11,08:13,43:48,4167
26,乌鲁木齐,09:46,09:46,45:21,4334
