Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,乌鲁木齐,08:53,08:53,00:00,-
2,乌鲁木齐南,09:07,09:13,00:14,5
3,吐鲁番,10:56,11:02,01:57,150
4,鱼儿沟,11:58,12:00,02:53,-
5,马兰,12:58,13:13,03:51,345
6,库尔勒,14:37,14:50,05:15,484
7,轮台,16:55,16:57,07:20,489
8,库车,18:05,18:11,08:28,766
9,阿克苏,20:52,21:00,11:09,1008
10,喀什,03:31,03:46,17:40,1199
11,英吉沙,04:29,04:32,18:23,1265
12,莎车,05:43,05:49,19:34,1386
13,泽普,06:06,06:10,19:51,1409
14,叶城,06:37,06:42,20:18,1445
15,皮山,07:30,07:33,21:06,1802
16,昆玉,08:30,08:33,22:03,-
17,和田,09:11,09:11,22:41,1684
