Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,伊宁,14:08,14:08,00:00,-
2,精河南,16:58,17:00,02:50,200
3,奎屯,18:18,18:24,04:08,372
4,石河子,19:07,19:09,04:51,469
5,乌鲁木齐,20:18,20:31,06:00,599
6,吐鲁番北,21:51,21:53,07:20,771
7,鄯善北,22:37,22:39,08:04,-
8,哈密,00:36,00:57,10:01,1170
9,柳园,04:13,04:33,13:17,1491
10,嘉峪关,07:18,07:26,16:02,1788
11,张掖,09:31,09:38,18:07,2011
12,金昌,11:13,11:18,19:42,2181
13,武威,11:59,12:05,20:23,2255
14,兰州,15:03,15:27,23:21,2558
15,天水,19:19,19:25,27:13,2906
16,西安,23:22,23:33,31:10,3234
17,洛阳,04:18,04:24,35:55,3621
18,郑州,05:55,06:02,37:26,3745
19,商丘,07:37,07:44,39:01,-
20,徐州,09:01,09:16,40:18,4094
21,蚌埠,10:46,10:51,41:48,4258
22,南京,12:39,12:51,43:36,4442
23,镇江,13:27,13:31,44:12,4506
24,常州,14:10,14:13,44:51,4578
25,无锡,14:36,14:40,45:14,4617
26,苏州,15:06,15:11,45:40,4659
27,昆山,15:33,15:36,46:02,4694
28,上海,16:10,16:10,46:36,4716
